"REF_DATE","GEO","DGUID","Age of mother","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Number of live births","Number","223","units","0","v21404491","1.1.1","403816","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Percentage of live births","Percentage","242","units","0","v21404492","1.1.2","100.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Number of live births","Number","223","units","0","v21404493","1.2.1","263","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Percentage of live births","Percentage","242","units","0","v21404494","1.2.2","0.1","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Number of live births","Number","223","units","0","v21404495","1.3.1","24202","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Percentage of live births","Percentage","242","units","0","v21404496","1.3.2","6.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Number of live births","Number","223","units","0","v21404497","1.4.1","80777","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Percentage of live births","Percentage","242","units","0","v21404498","1.4.2","20.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Number of live births","Number","223","units","0","v21404499","1.5.1","153517","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Percentage of live births","Percentage","242","units","0","v21404500","1.5.2","38.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Number of live births","Number","223","units","0","v21404501","1.6.1","107638","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Percentage of live births","Percentage","242","units","0","v21404502","1.6.2","26.7","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Number of live births","Number","223","units","0","v21404503","1.7.1","33140","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Percentage of live births","Percentage","242","units","0","v21404504","1.7.2","8.2","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Number of live births","Number","223","units","0","v21404505","1.8.1","4138","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Percentage of live births","Percentage","242","units","0","v21404506","1.8.2","1.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Number of live births","Number","223","units","0","v21404507","1.9.1","139","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Percentage of live births","Percentage","242","units","0","v21404508","1.9.2","0.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Number of live births","Number","223","units","0","v21404509","1.10.1","2","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Percentage of live births","Percentage","242","units","0","v21404510","1.10.2","0.0","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Age of mother, all ages","Number of live births","Number","223","units","0","v21404511","2.1.1","7166","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Age of mother, all ages","Percentage of live births","Percentage","242","units","0","v21404512","2.1.2","100.0","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Age of mother, under 15 years","Number of live births","Number","223","units","0","v21404513","2.2.1","4","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Age of mother, under 15 years","Percentage of live births","Percentage","242","units","0","v21404514","2.2.2","0.1","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Age of mother, 15 to 19 years","Number of live births","Number","223","units","0","v21404515","2.3.1","810","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Age of mother, 15 to 19 years","Percentage of live births","Percentage","242","units","0","v21404516","2.3.2","11.3","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Age of mother, 20 to 24 years","Number of live births","Number","223","units","0","v21404517","2.4.1","1987","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Age of mother, 20 to 24 years","Percentage of live births","Percentage","242","units","0","v21404518","2.4.2","27.7","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Age of mother, 25 to 29 years","Number of live births","Number","223","units","0","v21404519","2.5.1","2495","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Age of mother, 25 to 29 years","Percentage of live births","Percentage","242","units","0","v21404520","2.5.2","34.8","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Age of mother, 30 to 34 years","Number of live births","Number","223","units","0","v21404521","2.6.1","1428","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Age of mother, 30 to 34 years","Percentage of live births","Percentage","242","units","0","v21404522","2.6.2","19.9","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Age of mother, 35 to 39 years","Number of live births","Number","223","units","0","v21404523","2.7.1","387","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Age of mother, 35 to 39 years","Percentage of live births","Percentage","242","units","0","v21404524","2.7.2","5.4","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Age of mother, 40 to 44 years","Number of live births","Number","223","units","0","v21404525","2.8.1","52","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Age of mother, 40 to 44 years","Percentage of live births","Percentage","242","units","0","v21404526","2.8.2","0.7","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Age of mother, 45 to 49 years","Number of live births","Number","223","units","0","v21404527","2.9.1","3","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Age of mother, 45 to 49 years","Percentage of live births","Percentage","242","units","0","v21404528","2.9.2","0.0","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Age of mother, not stated","Number of live births","Number","223","units","0","v21404529","2.10.1","0","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Age of mother, not stated","Percentage of live births","Percentage","242","units","0","v21404530","2.10.2","0.0","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Age of mother, all ages","Number of live births","Number","223","units","0","v21404531","3.1.1","1885","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Age of mother, all ages","Percentage of live births","Percentage","242","units","0","v21404532","3.1.2","100.0","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Age of mother, under 15 years","Number of live births","Number","223","units","0","v21404533","3.2.1","5","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Age of mother, under 15 years","Percentage of live births","Percentage","242","units","0","v21404534","3.2.2","0.3","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Age of mother, 15 to 19 years","Number of live births","Number","223","units","0","v21404535","3.3.1","161","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Age of mother, 15 to 19 years","Percentage of live births","Percentage","242","units","0","v21404536","3.3.2","8.5","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Age of mother, 20 to 24 years","Number of live births","Number","223","units","0","v21404537","3.4.1","409","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Age of mother, 20 to 24 years","Percentage of live births","Percentage","242","units","0","v21404538","3.4.2","21.7","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Age of mother, 25 to 29 years","Number of live births","Number","223","units","0","v21404539","3.5.1","709","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Age of mother, 25 to 29 years","Percentage of live births","Percentage","242","units","0","v21404540","3.5.2","37.6","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Age of mother, 30 to 34 years","Number of live births","Number","223","units","0","v21404541","3.6.1","432","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Age of mother, 30 to 34 years","Percentage of live births","Percentage","242","units","0","v21404542","3.6.2","22.9","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Age of mother, 35 to 39 years","Number of live births","Number","223","units","0","v21404543","3.7.1","152","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Age of mother, 35 to 39 years","Percentage of live births","Percentage","242","units","0","v21404544","3.7.2","8.1","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Age of mother, 40 to 44 years","Number of live births","Number","223","units","0","v21404545","3.8.1","17","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Age of mother, 40 to 44 years","Percentage of live births","Percentage","242","units","0","v21404546","3.8.2","0.9","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Age of mother, 45 to 49 years","Number of live births","Number","223","units","0","v21404547","3.9.1","0","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Age of mother, 45 to 49 years","Percentage of live births","Percentage","242","units","0","v21404548","3.9.2","0.0","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Age of mother, not stated","Number of live births","Number","223","units","0","v21404549","3.10.1","0","","","","0"
